tag,prefix,number,meaning,variable,role,is_safety,x,y,layer
HL518,HL,518,Heat Load annotation,heat,annotation,False,852.95,660.57,Heat loads
HL510,HL,510,Heat Load annotation,heat,annotation,False,853.13,668.48,Heat loads
HL573,HL,573,Heat Load annotation,heat,annotation,False,528.59,865.39,Heat loads
HL574,HL,574,Heat Load annotation,heat,annotation,False,602.54,865.14,Heat loads
HL580,HL,580,Heat Load annotation,heat,annotation,False,416.39,497.7,Heat loads
HL576,HL,576,Heat Load annotation,heat,annotation,False,696.65,864.96,Heat loads
HL575,HL,575,Heat Load annotation,heat,annotation,False,641.21,864.49,Heat loads
HL578,HL,578,Heat Load annotation,heat,annotation,False,794.42,864.36,Heat loads
HL579,HL,579,Heat Load annotation,heat,annotation,False,864.72,864.67,Heat loads
HL577,HL,577,Heat Load annotation,heat,annotation,False,740.99,864.31,Heat loads
HL553,HL,553,Heat Load annotation,heat,annotation,False,718.18,535.95,Heat loads
HL561,HL,561,Heat Load annotation,heat,annotation,False,769.33,539.47,Heat loads
EH537,EH,537,Electric Heater,heat,actuator,False,1011.96,722.35,Piping and series instrumentation
TT537,TT,537,Temperature Transmitter,temperature,sensor,False,1011.99,731.72,Piping and series instrumentation
EH547,EH,547,Electric Heater,heat,actuator,False,1011.9,774.27,Piping and series instrumentation
TT547,TT,547,Temperature Transmitter,temperature,sensor,False,1011.94,783.65,Piping and series instrumentation
TT538,TT,538,Temperature Transmitter,temperature,sensor,False,1057.52,729.07,Piping and series instrumentation
TT548,TT,548,Temperature Transmitter,temperature,sensor,False,1056.22,782.45,Piping and series instrumentation
PL538,PL,538,Pressure Limiter,pressure,safety,True,1110.96,750.13,CPLR pressure limiter
PL548,PL,548,Pressure Limiter,pressure,safety,True,1109.03,806.09,CPLR pressure limiter
HV560,HV,560,Hand (Manual) Valve,control,valve,False,1052.15,619.22,Piping and series instrumentation
LS560,LS,560,Level Switch,level,switch,False,1012.61,622.66,Piping and series instrumentation
HV561,HV,561,Hand (Manual) Valve,control,valve,False,1052.36,658.82,Piping and series instrumentation
LS561,LS,561,Level Switch,level,switch,False,1012.51,665.48,Piping and series instrumentation
PT560,PT,560,Pressure Transmitter,pressure,sensor,False,1055.03,640.81,Piping and series instrumentation
PT561,PT,561,Pressure Transmitter,pressure,sensor,False,1013.69,648.88,Piping and series instrumentation
PT562,PT,562,Pressure Transmitter,pressure,sensor,False,1012.64,633.29,Piping and series instrumentation
LS562,LS,562,Level Switch,level,switch,False,990.92,420.81,Piping and series instrumentation
LS563,LS,563,Level Switch,level,switch,False,986.64,413.88,Piping and series instrumentation
CV560,CV,560,Control Valve,control,valve,False,985.58,394.54,Piping and series instrumentation
RV560,RV,560,Relief Valve,safety,valve,True,1049.06,409.61,Piping and series instrumentation
TT596,TT,596,Temperature Transmitter,temperature,sensor,False,1044.36,391.6,Piping and series instrumentation
FT549,FT,549,Flow Transmitter,flow,sensor,False,1380.02,474.97,Piping and series instrumentation
FT539,FT,539,Flow Transmitter,flow,sensor,False,1310.55,474.39,Piping and series instrumentation
CV539,CV,539,Control Valve,control,valve,False,1305.52,513.0,Piping and series instrumentation
LS538,LS,538,Level Switch,level,switch,False,1273.08,524.4,Piping and series instrumentation
CV549,CV,549,Control Valve,control,valve,False,1375.24,513.82,Piping and series instrumentation
LS548,LS,548,Level Switch,level,switch,False,1341.74,526.19,Piping and series instrumentation
HV539,HV,539,Hand (Manual) Valve,control,valve,False,1305.04,435.75,Piping and series instrumentation
LS539,LS,539,Level Switch,level,switch,False,1273.03,448.09,Piping and series instrumentation
HV549,HV,549,Hand (Manual) Valve,control,valve,False,1375.52,436.2,Piping and series instrumentation
LS549,LS,549,Level Switch,level,switch,False,1343.5,448.54,Piping and series instrumentation
CF50,CF,50,CF-flange callout,mechanical,annotation,False,752.92,486.04,TC-LB
SV591,SV,591,Safety / Solenoid Valve,safety,valve,True,299.53,564.84,V
EH590,EH,590,Electric Heater,heat,actuator,False,317.39,418.23,Vacuum vessel
TT590,TT,590,Temperature Transmitter,temperature,sensor,False,317.43,427.6,Vacuum vessel
HX550,HX,550,Heat Exchanger,process,equipment,False,669.89,374.21,Piping and series instrumentation
CV571,CV,571,Control Valve,control,valve,False,362.7,332.98,Piping and series instrumentation
CV589,CV,589,Control Valve,control,valve,False,429.89,332.98,Piping and series instrumentation
TT583,TT,583,Temperature Transmitter,temperature,sensor,False,436.67,433.31,Piping and series instrumentation
TT586,TT,586,Temperature Transmitter,temperature,sensor,False,442.8,355.01,Piping and series instrumentation
EH585,EH,585,Electric Heater,heat,actuator,False,453.35,372.27,Piping and series instrumentation
TT585,TT,585,Temperature Transmitter,temperature,sensor,False,453.38,381.65,Piping and series instrumentation
EH584,EH,584,Electric Heater,heat,actuator,False,453.68,411.13,Piping and series instrumentation
TT584,TT,584,Temperature Transmitter,temperature,sensor,False,453.71,420.51,Piping and series instrumentation
EH589,EH,589,Electric Heater,heat,actuator,False,415.7,284.38,Headers A B C D
TT589,TT,589,Temperature Transmitter,temperature,sensor,False,415.73,293.75,Headers A B C D
EH588,EH,588,Electric Heater,heat,actuator,False,507.45,291.57,Headers A B C D
TT588,TT,588,Temperature Transmitter,temperature,sensor,False,507.48,300.94,Headers A B C D
TT500,TT,500,Temperature Transmitter,temperature,sensor,False,539.31,224.38,Headers A B C D
CV501,CV,501,Control Valve,control,valve,False,556.6,409.62,Piping and series instrumentation
CV500,CV,500,Control Valve,control,valve,False,556.1,304.68,Piping and series instrumentation
CV551,CV,551,Control Valve,control,valve,False,697.73,409.24,Piping and series instrumentation
TT550,TT,550,Temperature Transmitter,temperature,sensor,False,701.15,348.39,Piping and series instrumentation
TT551,TT,551,Temperature Transmitter,temperature,sensor,False,680.57,386.28,Piping and series instrumentation
SV500,SV,500,Safety / Solenoid Valve,safety,valve,True,234.28,303.29,Piping and series instrumentation
TT595,TT,595,Temperature Transmitter,temperature,sensor,False,228.57,281.53,Piping and series instrumentation
SV570,SV,570,Safety / Solenoid Valve,safety,valve,True,154.59,310.84,Piping and series instrumentation
TT594,TT,594,Temperature Transmitter,temperature,sensor,False,186.33,288.68,Piping and series instrumentation
CV569,CV,569,Control Valve,control,valve,False,750.44,322.61,Piping and series instrumentation
TT568,TT,568,Temperature Transmitter,temperature,sensor,False,751.6,355.88,Piping and series instrumentation
TT567,TT,567,Temperature Transmitter,temperature,sensor,False,751.93,389.53,Piping and series instrumentation
PT501,PT,501,Pressure Transmitter,pressure,sensor,False,251.14,364.45,Piping and series instrumentation
HV503,HV,503,Hand (Manual) Valve,control,valve,False,230.34,349.27,Piping and series instrumentation
LS503,LS,503,Level Switch,level,switch,False,220.05,327.15,Piping and series instrumentation
HV502,HV,502,Hand (Manual) Valve,control,valve,False,271.41,349.29,Piping and series instrumentation
LS502,LS,502,Level Switch,level,switch,False,261.11,327.18,Piping and series instrumentation
PT570,PT,570,Pressure Transmitter,pressure,sensor,False,216.35,444.1,Piping and series instrumentation
HV571,HV,571,Hand (Manual) Valve,control,valve,False,197.28,430.23,Piping and series instrumentation
LS571,LS,571,Level Switch,level,switch,False,186.98,408.11,Piping and series instrumentation
HV570,HV,570,Hand (Manual) Valve,control,valve,False,240.78,430.35,Piping and series instrumentation
LS570,LS,570,Level Switch,level,switch,False,230.49,408.23,Piping and series instrumentation
EH592,EH,592,Electric Heater,heat,actuator,False,65.99,409.89,Spare heaters
TT592,TT,592,Temperature Transmitter,temperature,sensor,False,66.02,419.26,Spare heaters
EH591,EH,591,Electric Heater,heat,actuator,False,32.23,389.75,Spare heaters
TT591,TT,591,Temperature Transmitter,temperature,sensor,False,32.26,399.12,Spare heaters
EH593,EH,593,Electric Heater,heat,actuator,False,35.95,428.64,Spare heaters
TT593,TT,593,Temperature Transmitter,temperature,sensor,False,35.98,438.02,Spare heaters
PT568,PT,568,Pressure Transmitter,pressure,sensor,False,820.42,150.25,Instrumentation Pcav Observer
PT569,PT,569,Pressure Transmitter,pressure,sensor,False,825.22,173.45,Instrumentation Pcav Observer
HV568,HV,568,Hand (Manual) Valve,control,valve,False,792.14,171.26,Instrumentation Pcav Observer
LS568,LS,568,Level Switch,level,switch,False,784.0,148.42,Instrumentation Pcav Observer
HV569,HV,569,Hand (Manual) Valve,control,valve,False,861.56,170.43,Instrumentation Pcav Observer
LS569,LS,569,Level Switch,level,switch,False,854.49,147.89,Instrumentation Pcav Observer
PT500,PT,500,Pressure Transmitter,pressure,sensor,False,636.64,150.96,Instrumentation Pcav Observer
HV500,HV,500,Hand (Manual) Valve,control,valve,False,611.53,174.58,Instrumentation Pcav Observer
LS500,LS,500,Level Switch,level,switch,False,602.17,151.49,Instrumentation Pcav Observer
HV501,HV,501,Hand (Manual) Valve,control,valve,False,669.2,174.52,Instrumentation Pcav Observer
LS501,LS,501,Level Switch,level,switch,False,670.09,151.43,Instrumentation Pcav Observer
FT500,FT,500,Flow Transmitter,flow,sensor,False,620.83,293.19,Flowmeter for AL
TT566,TT,566,Temperature Transmitter,temperature,sensor,False,767.26,441.43,Pre-series
